batch_size,epochs,learning_rate,noise_multiplier,max_grad_norm,clipping_mode,algorithm,overall_privacy_spent,dataset,model_name,device,iteration_train_times,training_losses,validation_losses,validation_dice_scores,total_training_time
10,5,0.0005,0.5,1.0,flat,opacus-ac,"[13.181422858308167, 16.990932332738247, 20.01228577369793, 22.64497654660464, 25.035361526891794]",Duke,ConvNet,cpu,"[7.843861103057861, 6.460810899734497, 6.070846319198608, 6.151214838027954, 6.249094247817993]","[0.13826783498128256, 0.1382140318552653, 0.13820366787187982, 0.13818569978078207, 0.1381164753075802]",[3.1278840736909346],[tensor(0.1142)],36.17408180236816
10,5,0.0005,0.5,1.0,flat,opacus-ac,"[13.181422858308167, 16.990932332738247, 20.01228577369793, 22.64497654660464, 25.035361526891794]",Duke,ConvNet,cpu,"[7.121294021606445, 6.372323751449585, 6.056763172149658, 6.338129043579102, 6.540528059005737]","[0.13826783498128256, 0.1382140318552653, 0.13820366787187982, 0.13818569978078207, 0.1381164753075802]",[3.1278840736909346],[tensor(0.1142)],35.802820920944214
10,5,0.0005,0.5,1.0,flat,opacus-ac,"[13.181422858308167, 16.990932332738247, 20.01228577369793, 22.64497654660464, 25.035361526891794]",Duke,ConvNet,cpu,"[7.552154064178467, 7.424337863922119, 7.228264808654785, 7.26803994178772, 7.268810033798218]","[0.13826783498128256, 0.1382140318552653, 0.13820366787187982, 0.13818569978078207, 0.1381164753075802]",[3.1278840736909346],[tensor(0.1142)],40.90048360824585
10,5,0.0005,0.5,1.0,flat,opacus-ac,"[13.181422858308167, 16.990932332738247, 20.01228577369793, 22.64497654660464, 25.035361526891794]",Duke,ConvNet,cpu,"[7.369180202484131, 7.403328895568848, 7.30359411239624, 7.334465026855469, 7.333888053894043]","[0.13826783498128256, 0.1382140318552653, 0.13820366787187982, 0.13818569978078207, 0.1381164753075802]",[3.1278840736909346],[tensor(0.1142)],40.8938729763031
10,5,0.0005,0.5,1.0,flat,opacus-ac,"[13.181422858308167, 16.990932332738247, 20.01228577369793, 22.64497654660464, 25.035361526891794]",Duke,ConvNet,cpu,"[7.627275228500366, 9.589370250701904, 8.92373013496399, 9.048624992370605, 9.43999695777893]","[0.13826783498128256, 0.1382140318552653, 0.13820366787187982, 0.13818569978078207, 0.1381164753075802]",[3.1278840736909346],[tensor(0.1142)],49.444506883621216
10,5,0.0005,0.5,1.0,flat,opacus-ac,"[13.181422858308167, 16.990932332738247, 20.01228577369793, 22.64497654660464, 25.035361526891794]",Duke,ConvNet,cpu,"[7.879812002182007, 13.484508991241455, 11.160154104232788, 12.175354957580566, 9.168683052062988]","[0.13826783498128256, 0.1382140318552653, 0.13820366787187982, 0.13818569978078207, 0.1381164753075802]",[3.1278840736909346],[tensor(0.1142)],60.15631890296936
