batch_size,epochs,learning_rate,noise_multiplier,max_grad_norm,clipping_mode,algorithm,overall_privacy_spent,dataset,model_name,device,iteration_train_times,training_losses,validation_losses,validation_dice_scores,total_training_time
10,5,0.0005,0.5,1.0,flat,opacus-rs-ac,"[10.031833954344934, 13.181422858308167, 14.963338934898788, 16.990932332738247, 18.348729131592698]",Duke,ConvNet,cpu,"[7.855299234390259, 8.126770257949829, 7.279732942581177, 8.10384202003479, 7.228339910507202]","[0.13828262415799228, 0.13819947025992654, 0.13820965723557907, 0.13821514808770383, 0.13822059559099603]",[3.1290330561724575],[tensor(0.1142)],42.81705689430237
10,5,0.0005,0.5,1.0,flat,opacus-rs-ac,"[10.031833954344934, 13.181422858308167, 14.963338934898788, 16.990932332738247, 18.348729131592698]",Duke,ConvNet,cpu,"[7.944613933563232, 8.254431962966919, 7.231017827987671, 8.513763189315796, 7.461793899536133]","[0.13828262415799228, 0.13819947025992654, 0.13820965723557907, 0.13821514808770383, 0.13822059559099603]",[3.1290330561724575],[tensor(0.1142)],43.53810095787048
10,5,0.0005,0.5,1.0,flat,opacus-rs-ac,"[10.031833954344934, 13.181422858308167, 14.963338934898788, 16.990932332738247, 18.348729131592698]",Duke,ConvNet,cpu,"[14.247947931289673, 13.571907043457031, 11.961959838867188, 12.147441148757935, 11.66030478477478]","[0.13828303597190164, 0.13820459625937723, 0.1382099281657826, 0.13821022799520782, 0.13817860863425516]",[3.1290622516111894],[tensor(0.1142)],68.57631015777588
