batch_size,epochs,learning_rate,noise_multiplier,max_grad_norm,clipping_mode,algorithm,overall_privacy_spent,dataset,model_name,device,iteration_train_times,training_losses,validation_losses,validation_dice_scores,total_training_time
10,5,0.0005,0.5,1.0,flat,opacus-rs-ac,"[10.031833954344934, 13.181422858308167, 14.963338934898788, 16.990932332738247, 18.348729131592698]",Duke,unet,cpu,"[33.09511685371399, 33.89046597480774, 35.08948087692261, 31.584630012512207, 31.93473792076111]","[0.136715419364698, 0.13672489830941864, 0.13669813040531043, 0.1366753542062008, 0.13665976668849136]",[3.0260473489761353],[tensor(0.0980)],170.77844381332395
10,5,0.0005,0.5,1.0,flat,opacus-rs-ac,"[10.031833954344934, 13.181422858308167, 14.963338934898788, 16.990932332738247, 18.348729131592698]",Duke,unet,cpu,"[45.73634481430054, 31.187567949295044, 28.151735067367554, 29.921786785125732, 29.24587893486023]","[0.136715419364698, 0.13672489830941864, 0.13669813040531043, 0.1366753542062008, 0.13665976668849136]",[3.0260473489761353],[tensor(0.0980)],171.74717497825623
